State,"Sheltered Total Homeless - Female, 2015","Sheltered Total Homeless - Male, 2015","Sheltered Total Homeless - Transgender, 2015","Sheltered Total Homeless - White, 2015","Sheltered Total Homeless - Black or African American, 2015","Sheltered Total Homeless - Asian, 2015","Sheltered Total Homeless - American Indian or Alaska Native, 2015","Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander, 2015","Sheltered Total Homeless - Multiple Races, 2015","Unsheltered Homeless - Female, 2015","Unsheltered Homeless - Male, 2015","Unsheltered Homeless - Transgender, 2015","Unsheltered Homeless - White, 2015","Unsheltered Homeless - Black or African American, 2015","Unsheltered Homeless - Asian, 2015","Unsheltered Homeless - American Indian or Alaska Native, 2015","Unsheltered Homeless - Native Hawaiian or Other Pacific Islander, 2015","Unsheltered Homeless - Multiple Races, 2015","Sheltered Total Homeless - Female, 2016","Sheltered Total Homeless - Male, 2016","Sheltered Total Homeless - Transgender, 2016","Sheltered Total Homeless - White, 2016","Sheltered Total Homeless - Black or African American, 2016","Sheltered Total Homeless - Asian, 2016","Sheltered Total Homeless - American Indian or Alaska Native, 2016","Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander, 2016","Sheltered Total Homeless - Multiple Races, 2016","Unsheltered Homeless - Female, 2016","Unsheltered Homeless - Male, 2016","Unsheltered Homeless - Transgender, 2016","Unsheltered Homeless - White, 2016","Unsheltered Homeless - Black or African American, 2016","Unsheltered Homeless - Asian, 2016","Unsheltered Homeless - American Indian or Alaska Native, 2016","Unsheltered Homeless - Native Hawaiian or Other Pacific Islander, 2016","Unsheltered Homeless - Multiple Races, 2016","Sheltered Total Homeless - Female, 2017","Sheltered Total Homeless - Male, 2017","Sheltered Total Homeless - Transgender, 2017","Sheltered Total Homeless - Gender Non-Conforming, 2017","Sheltered Total Homeless - White, 2017","Sheltered Total Homeless - Black or African American, 2017","Sheltered Total Homeless - Asian, 2017","Sheltered Total Homeless - American Indian or Alaska Native, 2017","Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander, 2017","Sheltered Total Homeless - Multiple Races, 2017","Unsheltered Homeless - Female, 2017","Unsheltered Homeless - Male, 2017","Unsheltered Homeless - Transgender, 2017","Unsheltered Homeless - Gender Non-Conforming, 2017","Unsheltered Homeless - White, 2017","Unsheltered Homeless - Black or African American, 2017","Unsheltered Homeless - Asian, 2017","Unsheltered Homeless - American Indian or Alaska Native, 2017","Unsheltered Homeless - Native Hawaiian or Other Pacific Islander, 2017","Unsheltered Homeless - Multiple Races, 2017","Sheltered Total Homeless - Female, 2019","Sheltered Total Homeless - Male, 2019","Sheltered Total Homeless - Transgender, 2019","Sheltered Total Homeless - Gender Non-Conforming, 2019","Sheltered Total Homeless - White, 2019","Sheltered Total Homeless - Black or African American, 2019","Sheltered Total Homeless - Asian, 2019","Sheltered Total Homeless - American Indian or Alaska Native, 2019","Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander, 2019","Sheltered Total Homeless - Multiple Races, 2019","Unsheltered Homeless - Female, 2019","Unsheltered Homeless - Male, 2019","Unsheltered Homeless - Transgender, 2019","Unsheltered Homeless - Gender Non-Conforming, 2019","Unsheltered Homeless - White, 2019","Unsheltered Homeless - Black or African American, 2019","Unsheltered Homeless - Asian, 2019","Unsheltered Homeless - American Indian or Alaska Native, 2019","Unsheltered Homeless - Native Hawaiian or Other Pacific Islander, 2019","Unsheltered Homeless - Multiple Races, 2019","Sheltered Total Homeless - Female, 2020","Sheltered Total Homeless - Male, 2020","Sheltered Total Homeless - Transgender, 2020","Sheltered Total Homeless - Gender Non-Conforming, 2020","Sheltered Total Homeless - White, 2020","Sheltered Total Homeless - Black or African American, 2020","Sheltered Total Homeless - Asian, 2020","Sheltered Total Homeless - American Indian or Alaska Native, 2020","Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander, 2020","Sheltered Total Homeless - Multiple Races, 2020","Unsheltered Homeless - Female, 2020","Unsheltered Homeless - Male, 2020","Unsheltered Homeless - Transgender, 2020","Unsheltered Homeless - Gender Non-Conforming, 2020","Unsheltered Homeless - White, 2020","Unsheltered Homeless - Black or African American, 2020","Unsheltered Homeless - Asian, 2020","Unsheltered Homeless - American Indian or Alaska Native, 2020","Unsheltered Homeless - Native Hawaiian or Other Pacific Islander, 2020","Unsheltered Homeless - Multiple Races, 2020"
LA,1108,1774,8,1057,1725,13,29,7,59,265,920,6,479,670,8,21,7,6,1093,1754,6,1047,1679,8,13,3,103,244,894,3,435,640,4,17,7,38,824,1496,9,1,849,1391,11,15,6,58,230,737,5,3,418,530,1,13,5,8,679,1278,8,2,713,1200,2,15,4,33,188,780,1,5,424,506,5,19,3,17,708,1304,6,2,717,1249,9,11,3,31,259,888,5,1,448,659,12,18,2,14
MA,10445,10093,4,11496,7070,200,90,139,1547,157,435,1,426,105,6,10,5,41,9273,9559,16,10466,6049,122,62,78,2071,173,586,1,563,105,7,18,5,62,8303,8245,22,4,9231,5676,171,68,79,1349,255,730,4,2,775,154,2,14,1,45,8881,8727,25,9,9061,6317,157,119,91,1897,237,584,3,5,618,119,7,6,0,79,8515,8131,28,7,8913,6359,178,81,83,1067,376,908,5,5,990,179,20,5,4,96
MD,2640,3951,3,2242,4054,41,43,22,192,605,1188,3,774,866,17,10,14,115,2414,3743,4,2051,3821,24,36,13,216,508,1017,3,637,799,10,19,6,57,2208,3293,8,2,1683,3521,35,30,13,229,519,1212,4,1,796,820,5,24,9,82,2049,3152,12,0,1762,3108,41,31,22,249,441,895,10,2,623,670,5,14,4,32,2217,2878,23,6,1606,3224,53,37,19,185,351,875,8,2,605,531,3,23,7,67
ME,1130,1175,8,1984,211,6,25,8,79,15,43,1,52,2,0,0,0,5,977,1142,2,1771,234,6,37,5,68,30,89,1,101,3,3,5,0,8,964,1120,12,4,1725,250,5,33,8,79,74,106,0,0,128,34,6,5,2,5,970,1027,12,2,1506,369,9,42,5,80,25,67,1,2,75,6,0,1,1,12,903,1040,8,5,1515,305,3,43,7,83,37,103,0,1,116,5,0,5,0,15
MI,4011,5433,0,4026,4909,26,69,18,396,298,770,4,586,434,3,10,4,35,3562,4785,9,3612,4224,28,79,32,381,292,661,7,500,413,3,10,1,33,3424,4592,12,0,3281,4267,22,97,4,357,299,722,1,1,545,426,0,15,1,36,3321,4577,13,2,3382,4018,39,84,11,379,211,449,0,2,358,268,2,11,2,21,3400,4187,8,4,3381,3608,49,84,20,457,370,668,0,1,642,329,4,16,9,39
MN,3400,3280,25,2136,3327,111,515,29,587,293,546,2,505,139,6,148,0,43,3191,3248,13,2301,3135,68,573,26,349,290,593,6,479,171,14,136,46,43,3277,3265,16,2,2099,2975,89,879,12,506,340,764,1,3,586,321,21,139,4,37,2986,3314,21,3,2089,2891,82,674,42,546,568,1071,8,6,696,562,27,266,15,87,2766,3195,18,12,2034,2752,112,513,25,555,642,1290,7,10,982,550,33,282,25,77
MO,2761,2650,0,2812,2283,20,33,19,244,290,780,1,738,282,1,8,7,35,2455,2520,3,2574,2067,20,66,15,236,409,804,3,883,245,3,42,3,40,2425,2444,14,2,2254,2300,20,49,9,253,361,782,4,5,809,261,0,25,2,55,2401,2777,16,9,2464,2366,28,51,23,271,295,674,4,3,700,202,1,23,2,48,2393,2463,14,9,2389,2073,29,61,19,308,559,1077,9,3,1133,416,6,26,3,64
MP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,16,0,0,0,0,16,0,8,0,306,342,0,0,0,0,143,0,505,0,3,17,0,0,0,0,17,0,3,0,834,953,0,0,1,1,477,0,1278,30,2,0,0,0,0,0,1,0,0,1,574,631,0,0,7,0,437,0,758,3
MS,495,646,0,297,825,0,7,11,1,266,576,0,280,547,2,3,3,7,422,455,12,355,513,4,12,2,3,290,559,0,292,541,3,10,1,2,368,379,0,6,312,421,0,15,0,5,205,512,1,1,299,390,4,14,0,12,304,379,0,15,299,381,0,1,0,17,113,373,0,0,262,193,6,5,1,19,263,317,1,0,234,335,2,3,0,7,132,392,2,0,278,219,1,8,5,15
MT,418,418,1,623,18,0,151,1,44,293,578,1,658,20,0,170,4,20,360,427,1,536,14,1,143,3,91,239,391,0,341,11,0,223,3,52,414,566,3,2,663,20,4,201,4,93,210,332,1,1,329,13,0,153,5,44,435,571,4,2,667,29,4,175,7,130,120,222,0,3,238,7,4,59,5,32,478,595,6,6,780,48,4,199,3,51,152,301,4,3,307,3,0,101,7,42
NC,3390,4858,12,2989,4873,52,129,13,204,795,1629,1,1505,838,5,44,4,29,3024,4219,7,2608,4239,17,108,5,273,750,1554,5,1366,833,14,37,10,49,2753,3752,6,0,2316,3708,29,126,14,318,814,1628,3,6,1429,845,8,64,3,102,2837,4200,7,2,2629,4043,27,55,13,279,739,1516,5,8,1363,789,4,39,6,67,2821,3885,14,2,2584,3784,26,60,11,257,793,1761,4,0,1476,973,4,33,9,63
ND,268,551,0,418,189,14,114,5,79,188,292,6,356,43,2,70,0,15,268,437,2,422,111,1,114,1,58,63,153,0,88,18,4,104,0,2,156,600,2,0,257,73,4,85,0,339,116,211,0,4,110,54,2,141,0,24,172,372,1,0,313,87,1,101,7,36,6,6,0,0,9,3,0,0,0,0,220,286,1,0,270,92,1,115,1,28,6,28,0,0,15,3,0,16,0,0
NE,982,1629,10,1740,576,25,106,15,159,30,93,0,91,10,0,13,1,8,962,1689,2,1777,559,10,60,6,241,18,82,1,81,11,1,7,0,1,885,1494,2,0,1583,555,19,111,4,109,33,86,1,0,81,24,1,11,0,3,831,1419,4,1,1503,531,13,65,4,139,35,75,0,0,77,15,0,8,0,10,837,1418,6,0,1485,526,22,62,14,152,60,83,0,0,103,17,0,9,1,13
NH,579,731,3,1185,61,5,2,0,60,37,95,0,127,3,1,0,1,0,552,668,3,1050,91,2,3,2,75,49,94,0,133,3,0,0,0,7,588,689,3,2,1109,73,10,2,0,88,58,116,0,0,157,4,1,3,0,9,577,659,3,8,1038,92,9,5,5,98,49,99,0,1,134,8,0,0,1,6,607,717,3,0,1141,92,16,2,6,70,128,218,2,0,333,6,0,4,1,4
NJ,3914,5198,12,3910,5030,95,18,34,37,242,732,0,426,532,2,5,0,9,3341,4115,5,3230,3922,42,67,48,152,397,1033,4,605,760,14,12,5,38,3103,4002,14,3,2941,3841,63,77,32,168,339,1072,3,0,585,780,12,19,6,12,3186,4179,13,2,2888,4110,53,73,48,208,393,1085,4,0,657,803,12,4,3,3,3555,4317,6,3,2890,4499,42,83,43,324,475,1297,8,1,791,919,16,5,5,45
NM,951,1222,2,1440,184,9,454,16,72,135,315,4,288,29,3,133,1,0,713,1089,7,985,152,15,443,15,199,135,315,4,288,29,3,133,1,0,685,996,3,2,1027,103,6,413,6,131,212,549,16,19,486,39,4,238,3,26,902,1076,2,2,1094,131,10,456,3,288,376,854,17,12,748,61,7,386,24,33,821,1249,2,2,1263,166,7,445,14,179,376,854,17,12,748,61,7,386,24,33
NV,1500,3024,4,2546,1664,93,82,34,109,1337,2877,1,2059,1549,142,105,39,321,1008,2457,6,2088,1113,57,63,28,122,843,3084,0,2241,1083,132,104,104,263,977,2273,4,1,1911,1054,59,61,37,133,1296,3263,19,0,2699,1272,123,164,38,282,974,2373,15,0,1974,1113,72,54,31,118,1121,2669,16,1,2323,1097,72,131,28,156,852,1831,8,0,1566,875,67,58,32,93,1198,3008,3,0,2828,1009,61,89,89,133
NY,40988,43115,125,19797,58111,826,778,1357,3359,709,3297,16,1908,1992,53,44,11,14,40459,42096,206,17908,53852,889,618,1180,8314,688,2884,19,1457,1927,56,41,28,82,41554,43091,292,11,17894,59162,930,694,1178,5090,974,3552,29,0,2000,2301,126,35,13,80,42049,45597,382,16,19017,62479,1045,347,937,4219,931,3088,19,9,1914,1971,88,23,12,39,41026,45241,414,33,19308,60296,857,453,1244,4556,855,3664,28,10,2469,1902,80,47,4,55
OH,4028,6043,12,4776,4799,34,43,14,417,321,774,4,756,285,1,16,4,37,3735,5514,17,4449,4302,34,33,9,439,311,823,4,727,330,4,17,0,60,3600,5161,20,5,4080,4176,25,35,13,457,398,906,3,2,853,386,1,14,10,45,3638,5177,21,2,4164,4192,25,30,15,412,493,1008,5,1,1016,414,1,12,1,63,3664,5108,37,2,4035,4223,53,49,19,432,546,1292,6,0,1315,439,1,29,3,57
