GEOID,NAME,variable,estimate_2015,moe_2015,estimate_2016,moe_2016,estimate_2017,moe_2017,estimate_2018,moe_2018,estimate_2019,moe_2019,estimate_2020,moe_2020
33,New Hampshire,Male,653484,384,656507,424,659131,437,664983,433,667689,424,671802,432
33,New Hampshire,Female,670717,384,670996,424,672717,437,678639,433,680435,424,683442,432
34,New Jersey,Male,4343027,371,4350531,398,4372321,466,4335930,472,4335032,594,4341123,523
34,New Jersey,Female,4561386,371,4564925,398,4587840,466,4545915,472,4543471,594,4544295,523
35,New Mexico,Male,1032414,700,1031440,762,1032086,673,1035850,702,1036190,693,1038007,665
35,New Mexico,Female,1051703,700,1051229,762,1052742,673,1056584,702,1056264,693,1059014,665
36,New York,Male,9541801,845,9555130,945,9604111,859,9519555,859,9501001,981,9474184,1036
36,New York,Female,10131373,845,10142327,945,10194117,860,10098898,859,10071318,981,10040665,1036
37,North Carolina,Male,4795408,1490,4834592,1211,4895368,1173,4944759,1509,4996638,1311,5052667,1415
37,North Carolina,Female,5049925,1490,5106236,1211,5157196,1173,5210865,1509,5268238,1311,5333560,1416
38,North Dakota,Male,367963,513,376979,561,382121,709,386183,640,387555,729,389284,655
38,North Dakota,Female,353677,514,359183,559,363354,708,366018,638,369162,729,371110,655
39,Ohio,Male,5662893,884,5673893,1070,5686081,1139,5703967,1143,5711765,1244,5721796,1248
39,Ohio,Female,5913084,884,5913048,1070,5923675,1139,5937912,1143,5943632,1244,5953479,1248
40,Oklahoma,Male,1906944,778,1919995,673,1930615,686,1941576,731,1949528,688,1956617,692
40,Oklahoma,Female,1942789,779,1955594,673,1965636,686,1976561,731,1983342,688,1992725,694
41,Oregon,Male,1948453,692,1971512,746,1993822,752,2023021,728,2047338,680,2070627,960
41,Oregon,Female,1990780,692,2010755,746,2031305,752,2058922,728,2082465,680,2105719,960
42,Pennsylvania,Male,6245344,742,6255042,871,6260160,903,6263189,713,6265113,741,6269142,824
42,Pennsylvania,Female,6534215,742,6528935,871,6530345,903,6527992,713,6526417,741,6525743,824
44,Rhode Island,Male,510388,313,511297,301,512581,384,513332,272,513792,315,514524,353
44,Rhode Island,Female,543273,313,543194,301,543557,384,543279,272,543439,315,543274,353
45,South Carolina,Male,2322409,1002,2348338,909,2376759,930,2405726,860,2435472,868,2468682,1216
45,South Carolina,Female,2455167,1002,2486267,909,2516685,930,2550199,860,2585334,868,2622835,1216
46,South Dakota,Male,423477,542,428134,530,430587,510,435761,616,438946,666,442948,748
46,South Dakota,Female,419713,541,422924,530,424857,510,428528,616,431692,666,436388,749
47,Tennessee,Male,3167756,1137,3191977,1226,3217073,1297,3243678,1143,3273278,1507,3304462,1721
47,Tennessee,Female,3331859,1137,3356032,1226,3380308,1297,3407411,1143,3436078,1507,3467806,1721
48,Texas,Male,13171316,1984,13379165,1772,13616977,1683,13849775,1886,14034009,2058,14221720,2292
48,Texas,Female,13367298,1983,13577270,1772,13802635,1683,14035420,1886,14226847,2058,14413722,2292
49,Utah,Male,1459229,553,1483055,414,1506614,614,1532768,662,1558868,603,1586950,587
49,Utah,Female,1444150,553,1465372,414,1487327,614,1512582,662,1537980,603,1564289,587
50,Vermont,Male,308573,385,308711,340,308026,318,307973,381,308097,353,308441,331
50,Vermont,Female,318031,385,317538,340,316610,318,317004,381,316216,353,315899,330
51,Virginia,Male,4060948,1390,4086283,1410,4113988,1401,4138574,1437,4159173,1541,4186543,1645
51,Virginia,Female,4195682,1389,4224018,1410,4251964,1401,4275200,1437,4295290,1541,4322815,1644
53,Washington,Male,3487725,705,3529431,735,3580888,761,3645665,768,3703301,802,3759007,731
53,Washington,Female,3497739,705,3543715,735,3589079,761,3648671,768,3700806,802,3753458,731
54,West Virginia,Male,913631,633,912270,672,907621,690,904196,857,898578,865,893743,742
54,West Virginia,Female,937789,633,933822,672,929222,690,924858,857,918727,865,913683,742
55,Wisconsin,Male,2851385,789,2859055,805,2864115,767,2872376,786,2879894,833,2889783,904
55,Wisconsin,Female,2890732,790,2895743,805,2899102,767,2906018,786,2910822,833,2917192,904
56,Wyoming,Male,295561,598,297691,547,298301,673,296979,811,296202,809,296280,695
56,Wyoming,Female,284118,598,285338,547,284899,673,284857,811,284822,809,285068,695
72,Puerto Rico,Male,1713860,256,1685787,207,1653997,332,1612865,369,1578318,343,1546590,546
72,Puerto Rico,Female,1869213,256,1843598,207,1814966,332,1774076,369,1740129,343,1709052,546
