1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PFAS,45. FORM TYPE,46. UNIT OF MEASURE,47. 5.1 - FUGITIVE AIR,48. 5.2 - STACK AIR,49. 5.3 - WATER,50. 5.4 - UNDERGROUND,51. 5.4.1 - UNDERGROUND CL I,52. 5.4.2 - UNDERGROUND C II-V,53. 5.5.1 - LANDFILLS,54. 5.5.1A - RCRA C LANDFILL,55. 5.5.1B - OTHER LANDFILLS,56. 5.5.2 - LAND TREATMENT,57. 5.5.3 - SURFACE IMPNDMNT,58. 5.5.3A - RCRA SURFACE IM,59. 5.5.3B - OTHER SURFACE I,60. 5.5.4 - OTHER DISPOSAL,61. ON-SITE RELEASE TOTAL,62. 6.1 - POTW - TRNS RLSE,63. 6.1 - POTW - TRNS TRT,64. POTW - TOTAL TRANSFERS,65. 6.2 - M10,66. 6.2 - M41,67. 6.2 - M62,68. 6.2 - M40 METAL,69. 6.2 - M61 METAL,70. 6.2 - M71,71. 6.2 - M81,72. 6.2 - M82,73. 6.2 - M72,74. 6.2 - M63,75. 6.2 - M66,76. 6.2 - M67,77. 6.2 - M64,78. 6.2 - M65,79. 6.2 - M73,80. 6.2 - M79,81. 6.2 - M90,82. 6.2 - M94,83. 6.2 - M99,84. OFF-SITE RELEASE TOTAL,85. 6.2 - M20,86. 6.2 - M24,87. 6.2 - M26,88. 6.2 - M28,89 6.2 - M93,90. OFF-SITE RECYCLED TOTAL,91. 6.2 - M56,92. 6.2 - M92,93. OFF-SITE ENERGY RECOVERY T,94. 6.2 - M40 NON-METAL,95. 6.2 - M50,96. 6.2 - M54,97. 6.2 - M61 NON-METAL,98. 6.2 - M69,99. 6.2 - M95,100. OFF-SITE TREATED TOTAL,101. 6.2 - UNCLASSIFIED,102. 6.2 - TOTAL TRANSFER,103. TOTAL RELEASES,104. 8.1 - RELEASES,105. 8.1A - ON-SITE CONTAINED,106. 8.1B - ON-SITE OTHER ,107. 8.1C - OFF-SITE CONTAIN,108. 8.1D - OFF-SITE OTHER R,109. 8.2 - ENERGY RECOVER ON,110. 8.3 - ENERGY RECOVER OF,111. 8.4 - RECYCLING ON SITE,112. 8.5 - RECYCLING OFF SIT,113. 8.6 - TREATMENT ON SITE,114. 8.7 - TREATMENT OFF SITE,115. PRODUCTION WSTE (8.1-8.7),116. 8.8 - ONE-TIME RELEASE,117. PROD_RATIO_OR_ ACTIVITY,118. 8.9 - PRODUCTION RATIO
"2020","93402RNTCP1173L","110018998183","RANTEC POWER SYSTEMS INC","1173 LOS OLIVOS AVE","LOS OSOS","SAN LUIS OBISPO","CA","93402","","","35.31317","-120.8289","NAD83","RPS HOLDINGS INC","131981024","RPS HOLDINGS INC","NO","334","Computers and Electronic Products","","","","","","","","","","","","","1320218678504","Lead","NO","0007439921","7439-92-1","149583","YES","PBT","YES","1","YES","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","187","0","0","0","0","0","0","187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","187","187","0","0","0","187","0","0","0","0","0","0","0","187","","ACTIVITY",".89"
"2020","91340PHRMV1150A","110000476896","PHARMAVITE LLC","1150 AVIATION PL","SAN FERNANDO","LOS ANGELES","CA","91340","","","34.29106","-118.42124","NAD83","OTSUKA AMERICA INC","607111846","OTSUKA AMERICA INC","NO","325","Chemicals","","","","","","","","","","","","","1320219043763","Zinc compounds","NO","N982","N982","649699","NO","TRI","YES","1","NO","NO","R","Pounds","0",".42",".9","0","0","0","0","0","0","0","0","0","0","0","1.32","112","0","112","0","0",".15","0","0","0","0","0","0","0","0","0","0","627","0","0","0","0","0","739.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","739.15","740.47","0","0","1.32","701","38.15","0","0","0","0","0","0","740.47","","PRODUCTION","1.1"
"2020","9072WRCRFT1571M","110001201173","AEROCRAFT HEAT TREATING CO. INC","15701 MINNESOTA AVENUE","PARAMOUNT","LOS ANGELES","CA","90723","","","33.89029","-118.1667","NAD83","BERKSHIRE HATHAWAY INC","001024314","BERKSHIRE HATHAWAY INC","NO","332","Fabricated Metals","","","","","","","","","","","","","1320218784561","Chromium","NO","0007440473","7440-47-3","150060","YES","TRI","YES","1","NO","NO","R","Pounds","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","0","0","0","0","0","0","63","0","1844","0","0","5483","7327","0","0","0","0","0","0","0","0","0","0","0","7390","64","0","0","1","63","0","0","0","0","7327","0","0","7391","","PRODUCTION",".75"
"2020","9072WRCRFT1571M","110001201173","AEROCRAFT HEAT TREATING CO. INC","15701 MINNESOTA AVENUE","PARAMOUNT","LOS ANGELES","CA","90723","","","33.89029","-118.1667","NAD83","BERKSHIRE HATHAWAY INC","001024314","BERKSHIRE HATHAWAY INC","NO","332","Fabricated Metals","","","","","","","","","","","","","1320218784585","Cobalt","NO","0007440484","7440-48-4","150078","YES","TRI","YES","1","YES","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","11","0","436","0","0","1207","1643","0","0","0","0","0","0","0","0","0","0","0","1654","11","0","0","0","11","0","0","0","0","1643","0","0","1654","","PRODUCTION",".69"
"2020","9072WRCRFT1571M","110001201173","AEROCRAFT HEAT TREATING CO. INC","15701 MINNESOTA AVENUE","PARAMOUNT","LOS ANGELES","CA","90723","","","33.89029","-118.1667","NAD83","BERKSHIRE HATHAWAY INC","001024314","BERKSHIRE HATHAWAY INC","NO","332","Fabricated Metals","","","","","","","","","","","","","1320218784597","Nickel","NO","0007440020","7440-02-0","149674","YES","TRI","YES","1","YES","NO","R","Pounds","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","166","0","0","0","0","0","0","166","0","1278","0","0","4088","5366","0","0","0","0","0","0","0","0","0","0","0","5532","169","0","0","3","166","0","0","0","0","5366","0","0","5535","","PRODUCTION",".77"
"2020","95134SNMNS2700N","110013285943","SANMINA -   BLDG # 4","2700 N FIRST ST","SAN JOSE","SANTA CLARA","CA","95134","","","37.38917","-121.93002","NAD83","NA","","","NO","334","Computers and Electronic Products","","","","","","","","","","","","","1320218724831","Lead compounds","NO","N420","N420","650002","YES","PBT","YES","1","NO","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7873","0","0","0","7873","0","0","0","0","0","0","0","0","0","0","0","7873","0","0","0","0","0","0","0","0","0","7873","0","0","7873","","PRODUCTION","1.02"
"2020","90501NTDST401VA","110000475085","US GYPSUM CO","401 VAN NESS AVE","TORRANCE","LOS ANGELES","CA","90501","","","33.84379","-118.31886","NAD83","USG CORP","121286777","USG CORP","NO","327","Nonmetallic Mineral Product","","","","","","","","","","","","","1320219127279","Lead compounds","NO","N420","N420","650002","YES","PBT","YES","1","NO","NO","R","Pounds","0",".2","0","0","0","0","0","0","0","0","0","0","0","0",".2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.14","0","0","0","0","0","3.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.14","3.34","0","0",".2","3.14","0","0","0","0","0","0","0","3.34","","PRODUCTION",".94"
"2020","90502CTLNP193SN","110031000306","CALPORTLAND CO NORMANDIE PLANT","19030 S NORMANDIE AVE","TORRANCE","LOS ANGELES","CA","90502","","","33.85777","-118.29924","NAD83","TAIHEIYO CEMENT USA INC","175418052","TAIHEIYO CEMENT USA INC","NO","327","Nonmetallic Mineral Product","","","","","","","","","","","","","1320218690156","Lead  And Lead Compounds","YES","N420","N420","650002","YES","PBT","YES","1","NO","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.8","0","0","19.8","0","0","0","0","0","0","0","0","0","0","0","19.8","0","0","0","0","0","0","0","0","0","19.8","0","0","19.8","","PRODUCTION","1.47"
"2020","90723WBRMT16706","110000475995","WEBER METALS INC.","16706 GARFIELD AVE","PARAMOUNT","LOS ANGELES","CA","90723","","","33.88283","-118.16874","NAD83","NA","","NA","NO","332","Fabricated Metals","","","","","","","","","","","","","1320219346172","Nitric acid","NO","0007697372","7697-37-2","152686","NO","TRI","NO","0","NO","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","188540","0","188540","","ACTIVITY",".8"
"2020","95035LNRTC275SH","110002700113","ANALOG DEVICES INC","275 S HILLVIEW DR","MILPITAS","SANTA CLARA","CA","95035","","","37.42778","-121.89263","NAD83","ANALOG DEVICES INC","001418417","ANALOG DEVICES INC","NO","334","Computers and Electronic Products","","","","","","","","","","","","","1320219358052","Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)","NO","0007647010","7647-01-0","152231","YES","TRI","NO","0","NO","NO","R","Pounds","5","250","0","0","0","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","255","0","0","418","0","0","0","0","0","0","15744","0","16162","","PRODUCTION",".83"
